id,brand,categories,asins,n_reviews,example_text,avg_rating
AV1T0_tnvKc47QAVgf2V,Amazon,Amazon Devices,B01FWSVGQQ,3,"updated review (after 2 months)... i am updating my review from two months ago.. my initial review for the sling cover was based on first impressions after just receiving it. today i have been using the tap and sling daily for over the last two months and i felt like i needed to modify my review. i originally did not recommend this product, but after living with it, and growing to like it, i am changing my recommendation.the truth is, the base and top feel more protected than the appearance would have you believe. i have dropped it a couple times and it was protected by the sling. i think the rubber absorbs most of the force of the fall. also, it has been sat into a puddle and the bottom is protected by the rubber sling.i initially was upset by the sling preventing me from charging on the charging dock, but it isn't as big of a problem as i thought it would be. i just pull off the bottom of the sling and charge it (leaving the top of the sling on). easy off and easy back on after.my only real lingering complaint would be the price. 20 for essentially a thin piece of rubber wrapping the top and bottom still seems a little excessive. i am increasing my stars by one. really the price is the only thing keeping this from a 5 star for me. i have come to really like the sling. i have also bought a cheap pouch to throw it into while transporting it. that has eased my concerns about keeping it clean/safe while throwing it into a work bag.my original is below. overall, i would (and have) recommended the sling to protect the tap.received the tap and the sling cover in the last 24 hours.read more amazon",4.666666666666667
AV1T19jBvKc47QAVgf3S,Amazon,Amazon Devices,B00OQVZDJM,3,"honest kindle review let me guess: you love books, but you're not sure you want to get a kindle because you love the feel of books, righti'm here to tell you that the kindle is the perfect balance of book and digital format.short reviewyes, you should buy a kindle. get the paperwhite with no ads. you're welcome.long reviewi love physical books too, i'm with you. but i know myself, and i know that once i forget to take the book i'm reading with me, that's it. i'll start another book and rarely finish the first. i also know if i try and read on my phone or ipad that i'll get distracted and start wondering about what's happening on the internet (instagram's not gonna scroll itself). either way i'm not finishing the book.why kindlethe kindle takes the best of both worlds and mashes them together. the e ink display is honestly incredible. i wish iphones had an e ink display. it really looks just like a printed page. so you get the experience of reading a physical paper book, but with the perks of being digital.namely:- share what book you're reading to goodreads, facebook, or twitter (so you can look smort)- built in dictionary (so you can learn the proper spelling of the word smort)- export your highlights as a pdfplus, it'll also sync with the kindle app on your phone so you can squeeze in the final few pages of the chapter while you're in the bathroom (don't pretend you don't do that. you're either on your phone or you're reading the febreeze ingredients)reading in bedthe backlight looks great. it's a perfect size.read more amazon",5.0
AV1T19jOglJLPUi8H8Y9,Amazon,Amazon Devices,B00U879XZ8,3,"honest kindle review let me guess: you love books, but you're not sure you want to get a kindle because you love the feel of books, righti'm here to tell you that the kindle is the perfect balance of book and digital format.short reviewyes, you should buy a kindle. get the paperwhite with no ads. you're welcome.long reviewi love physical books too, i'm with you. but i know myself, and i know that once i forget to take the book i'm reading with me, that's it. i'll start another book and rarely finish the first. i also know if i try and read on my phone or ipad that i'll get distracted and start wondering about what's happening on the internet (instagram's not gonna scroll itself). either way i'm not finishing the book.why kindlethe kindle takes the best of both worlds and mashes them together. the e ink display is honestly incredible. i wish iphones had an e ink display. it really looks just like a printed page. so you get the experience of reading a physical paper book, but with the perks of being digital.namely:- share what book you're reading to goodreads, facebook, or twitter (so you can look smort)- built in dictionary (so you can learn the proper spelling of the word smort)- export your highlights as a pdfplus, it'll also sync with the kindle app on your phone so you can squeeze in the final few pages of the chapter while you're in the bathroom (don't pretend you don't do that. you're either on your phone or you're reading the febreeze ingredients)reading in bedthe backlight looks great. it's a perfect size.read more amazon",5.0
AV1T19k3GV-KLJ3adSMS,Amazon,Amazon Devices,B01A08ECQY,6,"love my kindles! i have now owned 4 kindles and just love them! my first one lasted for years and then died of old age and overuse. i had used it so much the printed keypads were all blank. i then got 2 kindle fires. i gave one to my daughter and kept the other. i have had no problem with the fire once i broke down and read some of the direction, if all else fails. other than operator error i have used it for over a year but it's too heavy for my old overused hands. not heavy though. books now give me problems. even paperbacks. but i then bought the smaller, lighter new kindle and loved it from the first. i carried in my purse a lot so it froze after a few months. i called customer support and they replaced it with a refurbished one. this time i bought a light weight cover for it. i don't like the added weight of the cover but in order for me to never leave home without it i have to protect it. i have had this one for months and have had no problems. i now have about 600 books awaiting my pleasure! i just looked the kindles over again. i'm getting paranoid about my little kindle and am considering having an on site backup although amazon would get me one here in just a couple of days. still giving it thought. basically i love my kindles and use both of my current ones for different apps. amazon",3.3333333333333335
AV1T19kvglJLPUi8H8Y-,Amazon,Amazon Devices,B00ZS0G0PG,4,"ive loved both my paperwhite and voyage is the oasis worth the additional cost 2, update 7/24/16: after using my oasis for almost 3 months, i thought i would add a brief comment to my original review. i have settled on using the oasis for reading in bed, where it's lighter and easier to hold and i prefer the page turn button style. for my reading elsewhere, for example if i want to read while eating, i use my voyage w/origami case to hold it upright. i can read the same book using both kindles since they stay synch'd to one another, and it's given me basically the best of both worlds, at least for my style of reading. the voyage with cover almost seems clunky - bulkier and heavier - compared to the oasis, but when it's sitting on a table it hardly matters. i have to say that i'm fortunate in being able to afford both, and the new base model kindle that i recently picked up is not yet getting much use, even though much of my reading is in lighting conditions where the non-illuminated display works just fine. my original review follows.---------amazon released the first kindle in november of 2007. eight and a half years later, the oasis model is the 8th generation kindle and the third evolution of kindle with built-in illumination. the price of 300+ was a bit of a shock, but i ordered mine as soon as it was announced on april 13th. i then spent the next two weeks reading what was available online describing the features and benefits and asking myself whether or not i had made the right decision. now that its finally been released and i have it in my hands, how different is it, and is it worth what appears at first to be a very high price(my kindle experience: i purchased my first kindle (a first generation paperwhite), when it was first released in sept 2012. i purchased the voyage when it was first released, in sept 2014.read more amazon",4.5
AV1T19lYglJLPUi8H8Y_,Amazon,Amazon Devices,B01J2G4VBG,3,"the state of the art e-ink reader but is it worth the money to upgrade 13, although i've owned almost every model of kindle ebook readers since the 2nd generation kindle that i bought in 2009, i had to think hard about ordering the new voyage. i was very happy with my paperwhite (the 2nd generation that was released in the fall of 2013), and as much as i wanted to try the voyage, i wasn't sure i wanted to spend 199 on one. it became a moot point, though, when my wife ordered the voyage, saying it was her early christmas present to me. now that i've had time to use the voyage, i have to say i'm impressed. with hardware features like a 300 ppi display, leds that automatically adjust the screen brightness depending on the ambient lighting, and the user's choice of a touchscreen or sensors acting like buttons to turn pages, the voyage is hands down the state-of-the-art e-ink ebook reader. at the end of my review, i'll give my opinion on whether it's worth upgrading from your current ebook reader.when i received the voyage, the setup was quick (although you do have to go through a brief tutorial), and after downloading a few of my books from the amazon cloud and adjusting a few settings, the voyage was ready to go. here's a brief comparison of the voyage and the paperwhite:voyage---------size: 6.4x4.5x0.30weight (wi-fi version): 6.3 ouncesdisplay: 6 diagonal, 300 pixels per inch, 16-level grayscale, led frontlitstorage memory: 4gbpage turns: touchscreen plus pagepressdisplay lighting: adaptive light sensor (automatic) plus manual adjustmentpaperwhite-------------size: 6.7x4.6x0.36weight (wi-fi version): 7.read more amazon",4.333333333333333
AV1T19mDGV-KLJ3adSMT,Amazon,Amazon Devices,B010EK1GOE,3,"great update for those who use their kindle a lot! i'm a long time kindle user, and have upgraded a number of times. every upgrade was a significant improvement, and the oasis continues that trend. i love my voyage, but the oasis makes it feel like a hardback book. the pictures and descriptions don't do the size and weight justice. shockingly light, and small even with the case. used without the case, it's like holding a few sheets of paper. amazing. haven't had it long enough to evaluate the battery life, but never had a problem with the previous models, so i assume the promise of much longer battery life (with the secondary battery in the case) is accurate.the balance in the hand without the case is stunningly good. with the case feels a bit like the voyage (although quite a bit lighter than my voyage in its case). case is high quality and easy to put on and take off as needed. screen seems a smidge clearer and higher definition than my voyage (maybe due to the updated lighting system).i had the 'pressure sensitive' page turner option on my voyage turned off. much too jumpy and sensitive, even at its 'hard' setting. i won't miss that. the new mechanical buttons on the oasis are awesome. nice upgrade there, and nice to not have to touch the screen for the most part.yes, it is pricey. i would say if you are a 'few hour a week' reader, the paperwhite is your best bet (solid performance and very good price/value). but if you are a reading fanatic who reads a lot every day (like me!), the extra battery life and the balance/size/weight, along with the slightly improved screen is well worth the money, especially when spread over the life of the unit.edit: a few more comments now that i've been using the oasis for a number of months.read more amazon",4.0
AV1T1nJ_GV-KLJ3adSMC,Amazon,Amazon Devices,B06XDD27LJ,6,"updated 6/6/17 they're great! have several now updated 6/617 - so useful we now have 3 of these along with the full sized echo amazon echo - blackafter using the full sized echo for a couple of months thought it would be nice to expand on that one piece of hardware. i had no experience with the 'dot' so i went ahead and shopped for the refurbished (a first as well.) the dot arrived in a small plain box. upon removal found the dot to look just like new. no blemishes, scuffs, dings, nothing whatsoever to indicate based on appearance it was anything other than new. it comes with plug, usb charging cable.that said what matters most is how it functions. i was concerned being refurbished but no worries it worked just as good as new. the device works exactly the same as the full sized echo. for myself the biggest difference was the addition of a 3.5mm aux out jack. while you can pair both this and its larger 'big brother' to any bluetooth speaker i have a set of wired bose headphones and needed that extra bit so i could use them too.how do the dot full sized echo compare differences are surprisingly few. as said the dot has a 3.5mm jack so you can use it with any wired speaker, headphones or earbuds while the echo does not. the dot when listening to speech or low volumes other sounds very good and at the same volume level i could not tell a difference between either of the two. however at higher volumes the dot struggles with the larger echo easily winning out. otherwise but for appearance they both function the same.as for what the echo or smaller version dot can doread more amazon",4.833333333333333
AV1T1nQ_vKc47QAVgf3G,Amazon,"Electronics,Amazon Devices",B01M4NRFXX,4,"this fire tablet is much better than the last one. please improve the freetime experience! we got this the day it came out. i have a four year old daughter, and she loves it! we have an ipad for her, but it was getting very expensive because so many of the games have buttons that you can click which then tell you about things you need to buy and she would have to have them. this tablet restricts all in app purchasing. yay! we tried the older version of this tablet but it kept freezing and did not perform well. but so far, this one works well. i have two requests to amazon, and i am hoping that someone from amazon reads my review so they can make this change. please change amazon freetime so that it puts the story apps that are under apps into the books sections. there are many wonderful stories that are read out loud but they are in the apps section instead of the books section, so then when i restrict her tablet to books only, she can't access them. i would love it so much if you they would fix this. a few examples of the stories she can't access when i restrict her to books because they are considers apps are the following: nighty night!, charlie brown's, the berenstain bears, and dino-store story. the other recommendation i have is to please hide from view the activities that are restricted. as it is now, she can see all the apps but gets an error message when she selects them. i really like this product, and i think it so great for children. it just needs a few little improvements to the freetime interface. amazon",5.0
AV1T1nR5-jtxr-f31CpL,Amazon,Amazon Devices,B0117U8JSG,8,the resolution is just as good on the 10 i read all of the reviews of if you have the fire hdx 8.9 don't buy this 10.1 tablet. the resolution is just as good on the 10.1 as the hdx. starts up faster that the hdx. it's a nice size not a solid square like the ipad's. i saved myself 80.00 by buy the refurbished there is nothing wrong with it. i highly recommend this kindle over than a high priced ipad. amazon,4.0
AV1T1nRJ-jtxr-f31CpK,Amazon,"Electronics,Amazon Devices",B01M3ULMWP,5,"i had low expectations, but i was pleasantly surprised. i had low expectations, but i was pleasantly surprised. but, keep in mind that this is not an ipad or typical android tablet. this is an amazon media and shopping machine. it is well built, has good battery life, reasonably fast and responsive, dual band wifi, sd card slot, decent display and so-so camera. no tablet is going to give you awesome sound, but i was surprised at how well the two speakers sound on this tablet. no tablet it going to give you a great camera, and this tablet is probably on the lower end of the spectrum - it works, but it won't be your go-to camera for important shots. this tablet excels at playing amazon content - music and video. it is a great reader, although a little heavy compared to a kindle device. it makes shopping easy - perhaps too easy. the os is based on android, but don't look for google play or google apps in general - this is nothing like an android tablet. finally, you can't beat the price. i think amazon wants to get these in the hands of as many people as possible. i would have given this 4.5 stars if that option was available. i didn't give it 5 stars only because it is not a general purpose tablet. this is a dramatic improvement over the fire 7. the integration of alexa is flawless and works very well - depends on whether or not you have an echo and on how you feel about that product. i have an echo and find it useful (not essential but useful). i find myself using alexia on this tablet more than i thought i would. amazon",4.6
AV1T1nRPvKc47QAVgf3H,Amazon,"Electronics,Amazon Devices",B01M4NU4OM,5,"if you want something cheap and very durable, fire 7 kids edition is a perfect choice having a tablet or a phone is inevitable in our life and there is nothing we can do about it. and i know, there are toddlers over there who can read a book in a cart while grocery shopping or just curiously looking around. but that's not our case. our daughter is three years old, and she's a very nice girl, but she hates grocery shopping, she gets bored very easily and the only thing that helps, are her favorite cartoons.earlier we gave her my or my husband's phone, but it's so easy for a toddler to drop things down, so we made a decision to buy her a tablet. the price was a trigger for us to buy fire hd kids edition.we did not have the previous edition, but as far as i know, the only difference between them are that the 7th gen fire 7 has a dual-band wifi antenna and a slightly newer gpu.at first, we considered buying a 50 fire 7 (regular one), but there are so many benefits in the kid's edition, that it's definitely worth to pay an extra 50 for it. and those benefits, that were important for us, are: - kid-proof case. that's a must have! i chose the pink one for my daughter and she seems to like it. - 2-year worry-free guarantee. - one year of freetime unlimited. she will love all the apps and game that are free. - i can choose what content my daughter will watch.the battery life is great, my daughter is still too little to watch cartoons for more than an hour a day, so it should work on a single charge for a week, or so.the display quality is just ok, i expected it to be at least better than the previous version (my nephew has it), but it's just the same.during the first day it has been dropped, and thrown, and kicked and it survived.read more amazon",4.8
AV1T1nRwvKc47QAVgf3I,Amazon,"Electronics,Amazon Devices",B01BRWH8G8,3,"great basic tablet for amazon fans 9, as a background, i am a retired information systems professional and i am writing my first impressions of the new fire hd 8 released on september 21, 2016 from the perspective of being a long-term kindle user. i have all the current e-readers and fire devices from amazon including the basic kindle, the paperwhite (2013,2014,2015 models), the fire hd6, fire hd7, fire hdx7 and fire hdx8.9 (3rd and 4th generation), the old fire hd 8 and the fire hd 10. here is a summary of my initial impressions of the new fire hd8.amazon has replaced the original hd 8 released in 2015 with an all-new hd 8. amazon is also removing the fire hd6, which is a shame as it is a great little tablet.the new hd 8 differs from the old version as follows:best new feature:the price has been reduced! the 16 gb version of the old device cost 169.99 with special offers (ads). the new 16 gb version costs 89.99 and you can get a 32 hb version for 30 more.secretly removed:amazon has removed the ability to mirror your display on miracast devices such as tvs. now that feature is now only available on generation 4 and 5 fires including last years hd 8. however, you can still cast prime videos to a firetv or fire stick.what comes in the box:the hd8 fire, a short 3-foot usb cord and a power adapter so you can charge and use the device right out of the box.size:the new hd8 is a fraction thicker than the 2015 hd8. leather cases for the old hd 8 will fit the new hd 8 but hard shell cases will not. however the auto wake feature of some older cases won't work.one complaint i had about the earlier versions was that the back was very slick and slippery to hold without a case.read more amazon",4.666666666666667
AV1T1nWFGV-KLJ3adSMD,Amazon,"Electronics,Amazon Devices",B0117U82EM,3,"disappointing performance...despite good price, size, and features 2, the fire hd 8 seemed like a great deal to me considering the size, economical price point, and the ability to watch content offline. and it offered exactly that...but fell short on performance parameters. if you're price sensitive and are looking for a value tablet, larger screen than the 6 fire, and the ability to watch content offline, this is a decent device to get. however, if you already have an earlier kindle like the hdx 8.9 or even an earlier version of the fire, i recommend keeping your tablet since this device wouldn't really be a worthwhile upgrade. i have been disappointed with several operating shortcomings of the device. if you're looking for a very basic tablet to watch videos or for your kids, the 49.99 fire is a better option.quick summary:pros - price, dual stereo speakers, expandable memory slot (great for viewing content offline), full access to amazon content. good basic tablet specially for watching videos.cons - screen resolution crisp but not great, lags quite a bit when switching or starting/closing apps (runs fine once an app is open), battery life is just ok, freezes quite often and the only solution is to reboot the device which becomes frustrating after a while.the device is basically slow to load apps, lags quite a bit when switching apps (this becomes worse as you load more content on the device), freezes quite often, and i find myself having to reboot it every now and then. a frustrating experience to say the least. the device is claimed to be designed for entertainment - true, but i would also add not designed for performance.this is meant to be a basic value tablet giving you access to the amazon ecosystem, and it is exactly that.read more amazon",3.6666666666666665
AV1T1nWrglJLPUi8H8Yz,Amazon,Amazon Devices,B00LWHUAF0,4,"a great upgrade for me from an older kindle fire! 3, i purchased the original kindle fire in 2011 and the second generation kindle fire in 2012. i gave my original one to my grandson and he is still using it for apps and reading. i liked both of them and i have to tell you that they have held up very well. one is over 3 years old and the other is 2 years old and i have not had any issues with them. since i have not upgraded in 2 years i thought i would get a new one with a larger memory and a faster cpu and a higher resolution display. there are many improvements beyond even those features.i have to tell you that overall i am impressed with this new one. i didn't feel the need to purchase a kindle fire every year and when i purchased the next one i wanted it to be a definite upgrade step to what i had. i stayed with the 7 inch size as i like to portability and weight for long term reading. i alternate between the kindle paperwhite for reading in the daytime and at night sometimes and i use the kindle fire for reading in the evening and at night plus browsing the internet and getting email. this new kindle fire hd 2014 version is very fast and easy to use. setting it up for the internet and downloading my apps and books was a breeze. i like the fact that the larger memory allows me to carry more apps and books. the higher resolution of the screen is helpful in reading books as the text is clearer and easier on my eyes than the older kindle fires we own. the screen is better for playing apps and watching videos and movies and it is worth the upgrade from the older kindle fires.i like that this version has both a front and rear facing camera. i use the camera a lot on all of my tablets and i own many apple ipads, apple iphone and android tablets.read more amazon",5.0
